ISO3,Country,Latitude,Longitude,Planned/ managed camp,Collective center,Individual accommodation (private),Self-settled camp,Reception/ transit camp,Undefined/ unknown,Total,,,,,
LAO,Lao People's Dem. Rep.,19.85627,102.4954496, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,
LVA,Latvia,56.879635,24.603189, 	-   , 	-   , 	160 , 	-   , 	-   , 	-   , 	160 ,,,,,
LEB,Lebanon,33.854721,35.862285, 	-   , 	-   ," 	856,546 ", 	-   , 	-   , 	-   ," 	856,546 ",,,,,
LES,Lesotho,-29.609988,28.233608, 	-   , 	-   , 	30 , 	-   , 	-   , 	-   , 	30 ,,,,,
LBR,Liberia,6.428055,-9.429499," 	34,144 ", 	-   ," 	19,109 ", 	-   , 	-   , 	-   ," 	53,253 ",,,,,
LBY,Libya,26.3351,17.228331, 	-   , 	-   ," 	25,561 ", 	-   , 	-   , 	-   ," 	25,561 ",,,,,
LIE,Liechtenstein,47.166,9.555373, 	-   , 	-   , 	97 , 	-   , 	-   , 	-   , 	97 ,,,,,
LTU,Lithuania,55.169438,23.881275, 	-   , 	56 , 	59 , 	-   , 	-   , 	801 , 	916 ,,,,,
LUX,Luxembourg,49.815273,6.129583, 	-   , 	-   , 	-   , 	-   , 	-   , 	920 , 	920 ,,,,,
MAD,Madagascar,-18.766947,46.869107, 	-   , 	-   , 	12 , 	-   , 	-   , 	-   , 	12 ,,,,,
MLW,Malawi,-13.254308,34.301525," 	5,796 ", 	-   , 	-   , 	-   , 	-   , 	-   ," 	5,796 ",,,,,
MLS,Malaysia,4.210484,101.975766, 	-   , 	-   ," 	97,513 ", 	-   , 	-   , 	-   ," 	97,513 ",,,,,
MLI,Mali,17.570692,-3.996166, 	-   , 	-   ," 	1,473 ", 	-   , 	37 ," 	12,806 "," 	14,316 ",,,,,
MTA,Malta,35.937496,14.375416, 	-   , 	-   ," 	3,152 ", 	-   ," 	1,506 "," 	5,248 "," 	9,906 ",,,,,
MAU,Mauritania,21.00789,-10.940835," 	66,392 ", 	-   , 	375 , 	-   , 	-   ," 	26,000 "," 	92,767 ",,,,,
MTS,Mauritius,-20.348404,57.552152, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,
MEX,Mexico,23.634501,-102.552784, 	-   , 	-   ," 	1,831 ", 	-   , 	-   , 	-   ," 	1,831 ",,,,,
FSM,Micronesia (Federated States of),21.333528,-157.909491, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,
MCO,Monaco,43.738418,7.424616, 	-   , 	-   , 	-   , 	-   , 	-   , 	34 , 	34 ,,,,,
MNG,Mongolia,46.862496,103.846656, 	-   , 	-   , 	9 , 	-   , 	-   , 	-   , 	9 ,,,,,
MNE,Montenegro,42.708678,19.37439, 	-   ," 	1,286 "," 	7,190 ", 	-   , 	-   , 	-   ," 	8,476 ",,,,,
MSR,Montserrat,16.742498,-62.187366, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,
MOR,Morocco,31.791702,-7.09262, 	-   , 	-   ," 	1,470 ", 	-   , 	-   , 	-   ," 	1,470 ",,,,,
MOZ,Mozambique,-18.665695,35.529562," 	2,344 ", 	-   ," 	2,101 ", 	-   , 	-   , 	-   ," 	4,445 ",,,,,
MYA,Myanmar,21.913965,95.956223, 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,
NAM,Namibia,-22.95764,18.49041," 	2,109 ", 	-   , 	223 , 	-   , 	-   , 	-   ," 	2,332 ",,,,,
